Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,03F-112.8S,24.711383,120.889639,3.0,10,-1,1623.5
后里,03F-116.1N,24.698006,120.860086,3.0,3,-1,1649.5
后里,03F-116.1N,24.698006,120.860086,3.0,4,-1,1649.5
后里,03F-116.1N,24.698006,120.860086,3.0,5,-1,1627.5
后里,03F-116.1N,24.698006,120.860086,3.0,6,-1,1627.5
后里,03F-116.1N,24.698006,120.860086,3.0,7,-1,1734.5
后里,03F-116.1N,24.698006,120.860086,3.0,8,-1,1734.5
后里,03F-116.1N,24.698006,120.860086,3.0,9,-1,1655.0
后里,03F-116.1N,24.698006,120.860086,3.0,10,-1,1655.0
后里,03F-121.5N,24.655964,120.838242,3.0,4,-1,1558.5
后里,03F-121.5N,24.655964,120.838242,3.0,5,-1,1558.5
后里,03F-121.5N,24.655964,120.838242,3.0,6,-1,1739.0
后里,03F-121.5N,24.655964,120.838242,3.0,7,-1,1739.0
后里,03F-121.5N,24.655964,120.838242,3.0,8,-1,1678.5
后里,03F-121.5N,24.655964,120.838242,3.0,9,-1,1678.5
后里,03F-121.5N,24.655964,120.838242,3.0,10,-1,1650.0
后里,03F-121.5N,24.655964,120.838242,3.0,11,-1,1650.0
后里,03F-125.7N,24.627161,120.814006,3.0,4,-1,1674.5
后里,03F-125.7N,24.627161,120.814006,3.0,5,-1,1674.5
后里,03F-125.7N,24.627161,120.814006,3.0,6,-1,1762.0
后里,03F-125.7N,24.627161,120.814006,3.0,7,-1,1762.0
后里,03F-125.7N,24.627161,120.814006,3.0,8,-1,1612.0
后里,03F-125.7N,24.627161,120.814006,3.0,9,-1,1612.0
后里,03F-125.7N,24.627161,120.814006,3.0,10,-1,1550.0
后里,03F-125.7N,24.627161,120.814006,3.0,11,-1,1550.0
后里,03F-133.2N,24.579642,120.764417,3.0,4,-1,1580.0
后里,03F-133.2N,24.579642,120.764417,3.0,5,-1,1580.0
后里,03F-133.2N,24.579642,120.764417,3.0,6,-1,1626.0
后里,03F-133.2N,24.579642,120.764417,3.0,7,-1,1626.0
后里,03F-133.2N,24.579642,120.764417,3.0,8,-1,1497.0
后里,03F-133.2N,24.579642,120.764417,3.0,9,-1,1497.0
后里,03F-133.2N,24.579642,120.764417,3.0,10,-1,1519.0
后里,03F-133.2N,24.579642,120.764417,3.0,11,-1,1519.0
后里,03F-139.5S,24.531125,120.733253,3.0,4,-1,1822.5
后里,03F-139.5S,24.531125,120.733253,3.0,5,-1,1822.5
后里,03F-139.5S,24.531125,120.733253,3.0,6,-1,1864.5
后里,03F-139.5S,24.531125,120.733253,3.0,7,-1,1864.5
后里,03F-139.5S,24.531125,120.733253,3.0,8,-1,1707.0
后里,03F-139.5S,24.531125,120.733253,3.0,9,-1,1707.0
后里,03F-139.5S,24.531125,120.733253,3.0,10,-1,1609.0
后里,03F-139.5S,24.531125,120.733253,3.0,11,-1,1609.0
后里,03F-148.5S,24.467308,120.681217,3.0,3,-1,1729.0
后里,03F-148.5S,24.467308,120.681217,3.0,4,-1,1729.0
后里,03F-148.5S,24.467308,120.681217,3.0,5,-1,1620.0
后里,03F-148.5S,24.467308,120.681217,3.0,6,-1,1620.0
