,Station,gantry,Latitude,Longitude,Equipment Lane Count,Lane Count,Billing Month,Electricity Consumption (kWh),Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Lighting Usage Category,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Number of Usage Days Same Period Last Year,Average Electricity Consumption,Electricity Usage Same Period Last Year,Electricity Usage Last Year (Second Half),Number of Usage Days This Period
57,樹林,03A-004.1SN,25.003864,121.586039,3.0,2.0,05,3096,WZ24,A,2024-03-14,2024-05-15,G08,60,3096,58,3361,2697,2956,63
58,樹林,03A-004.1SN,25.003864,121.586039,3.0,2.0,07,2810,WZ24,A,2024-05-16,2024-07-14,G08,62,2810,60,3801,2956,3117,60
59,樹林,03A-004.1SN,25.003864,121.586039,3.0,2.0,09,3277,WZ24,A,2024-07-15,2024-09-15,G08,59,3277,62,4428,3117,2893,63
60,樹林,03A-004.1SN,25.003864,121.586039,3.0,2.0,11,2882,WZ24,A,2024-09-16,2024-11-14,G08,64,2882,59,3472,2893,2992,60
61,樹林,05F-005.5SN,24.996503,121.652086,3.0,3.0,06,3153,W258,D,2024-04-11,2024-06-11,G08,61,3153,56,625,2843,3265,62
62,樹林,05F-005.5SN,24.996503,121.652086,3.0,3.0,08,3243,W258,D,2024-06-12,2024-08-12,G08,60,3243,61,841,3265,2988,62
63,樹林,05F-005.5SN,24.996503,121.652086,3.0,3.0,10,3214,W258,D,2024-08-13,2024-10-13,G08,62,3214,60,738,2988,3065,62
64,樹林,05F-005.5SN,24.996503,121.652086,3.0,3.0,12,2920,W258,D,2024-10-14,2024-12-11,G08,62,2920,62,555,3065,3010,59
65,樹林,03F-000.6S,25.137106,121.708908,4.0,3.0,06,2153,CY36,H,2024-04-10,2024-06-10,B21,59,2153,56,1888,2152,2343,62
66,樹林,03F-000.6S,25.137106,121.708908,4.0,3.0,08,2253,CY36,H,2024-06-11,2024-08-11,B21,62,2253,59,2366,2343,2382,62
67,樹林,03F-000.6S,25.137106,121.708908,4.0,3.0,10,2137,CY36,H,2024-08-12,2024-10-10,B21,62,2137,62,2196,2382,2159,60
68,樹林,03F-000.6S,25.137106,121.708908,4.0,3.0,12,2078,CY36,H,2024-10-11,2024-12-10,B21,62,2078,62,1837,2159,2075,61
69,樹林,03F-005.4N,25.103747,121.681789,4.0,3.0,06,2145,CZ24,H,2024-04-10,2024-06-10,G08,59,2145,56,1760,1930,2130,62
70,樹林,03F-005.4N,25.103747,121.681789,4.0,3.0,08,2383,CM27,H,2024-06-11,2024-08-11,G08,62,2383,59,2631,2130,2260,62
71,樹林,03F-005.4N,25.103747,121.681789,4.0,3.0,10,2300,CM27,H,2024-08-12,2024-10-10,G08,62,2300,62,2495,2260,2127,60
72,樹林,03F-005.4N,25.103747,121.681789,4.0,3.0,12,2359,CM27,H,2024-10-11,2024-12-10,G08,62,2359,62,1672,2127,2104,61
73,樹林,七堵收費站,,,,,05,793,CZ26,H,2024-04-10,2024-05-12, ,28,793,28,無,733,832,33
74,樹林,七堵收費站,,,,,06,723,CZ26,H,2024-05-13,2024-06-10, ,30,723,28,無,832,1103,29
75,樹林,七堵收費站,,,,,07,1126,CZ26,H,2024-06-11,2024-07-09, ,29,1126,30,無,1103,1213,29
76,樹林,七堵收費站,,,,,08,1164,CF20,H,2024-07-10,2024-08-11, ,33,1164,29,無,1213,1230,33
77,樹林,七堵收費站,,,,,09,1169,CF20,H,2024-08-12,2024-09-10, ,29,1169,33,無,1230,975,30
78,樹林,七堵收費站,,,,,10,915,CF20,H,2024-09-11,2024-10-10, ,32,915,29,無,975,818,30
79,樹林,七堵收費站,,,,,11,748,CZ26,H,2024-10-11,2024-11-11, ,30,748,32,無,818,748,32
80,樹林,七堵收費站,,,,,12,579,CZ26,H,2024-11-12,2024-12-10, ,34,579,30,無,748,712,29
81,泰山,01F-002.9SN,25.10283611,121.7178556,3.0,2.0,06,3186,CM48,D,2024-04-12,2024-06-12,D12,61,3186,56,2224,2829,3189,62
82,泰山,01F-002.9SN,25.10283611,121.7178556,3.0,2.0,08,3269,CM48,D,2024-06-13,2024-08-13,D12,64,3269,61,2628,3189,3166,62
83,泰山,01F-002.9SN,25.10283611,121.7178556,3.0,2.0,10,3258,CM48,D,2024-08-14,2024-10-14,D12,58,3258,64,2284,3166,3093,62
84,泰山,01F-002.9SN,25.10283611,121.7178556,3.0,2.0,12,2990,CM48,D,2024-10-15,2024-12-12,D12,69,2990,58,1775,3093,3103,59
85,泰山,01F-001.7SN,25.10956667,121.7259056,3.0,2.0,06,3276,CM29,H,2024-04-12,2024-06-12,D12,61,3276,56,2224,2735,3120,62
86,泰山,01F-001.7SN,25.10956667,121.7259056,3.0,2.0,08,3035,CM29,H,2024-06-13,2024-08-13,D12,64,3035,61,2628,3120,3108,62
87,泰山,01F-001.7SN,25.10956667,121.7259056,3.0,2.0,10,3447,CM29,H,2024-08-14,2024-10-14,D12,58,3447,64,2284,3108,2936,62
88,泰山,01F-001.7SN,25.10956667,121.7259056,3.0,2.0,12,2934,CM29,H,2024-10-15,2024-12-12,D12,69,2934,58,1775,2936,2897,59
89,泰山,01F-000.5N,25.11831111,121.7316361,3.0,2.0,06,1819,CM46,H,2024-04-12,2024-06-12,D12,61,1819,56,1816,1837,2105,62
90,泰山,01F-000.5N,25.11831111,121.7316361,3.0,2.0,08,2019,CM46,H,2024-06-13,2024-08-13,D12,64,2019,61,1990,2105,2105,62
91,泰山,01F-000.5N,25.11831111,121.7316361,3.0,2.0,10,2857,CM46,H,2024-08-14,2024-10-14,D12,58,2857,64,2832,2105,2078,62
92,泰山,01F-000.5N,25.11831111,121.7316361,3.0,2.0,12,2023,CM46,H,2024-10-15,2024-12-12,D12,69,2023,58,1983,2078,2413,59
93,泰山,01F-000.5S,25.11878611,121.7317639,3.0,2.0,06,1813,CM46,H,2024-04-12,2024-06-12,D12,61,1813,56,1816,1810,2102,62
94,泰山,01F-000.5S,25.11878611,121.7317639,3.0,2.0,08,1960,CM46,H,2024-06-13,2024-08-13,D12,64,1960,61,1990,2102,2057,62
95,泰山,01F-000.5S,25.11878611,121.7317639,3.0,2.0,10,2807,CM46,H,2024-08-14,2024-10-14,D12,58,2807,64,2832,2057,2023,62
96,泰山,01F-000.5S,25.11878611,121.7317639,3.0,2.0,12,1942,CM46,H,2024-10-15,2024-12-12,D12,69,1942,58,1983,2023,1933,59
97,泰山,01F-006.1SN,25.0882722,121.6936444,5.0,4.0,06,3577,CK36,H,2024-03-28,2024-05-28,B21,61,3577,59,1465,3319,3667,62
98,泰山,01F-006.1SN,25.0882722,121.6936444,5.0,4.0,08,3804,CK36,H,2024-05-29,2024-08-01,B21,61,3804,61,1871,3667,3623,65
99,泰山,01F-006.1SN,25.0882722,121.6936444,5.0,4.0,10,3621,CK36,H,2024-08-02,2024-10-01,B21,63,3621,61,1731,3623,3681,61
100,泰山,01F-006.1SN,25.0882722,121.6936444,5.0,4.0,12,3598,CK36,H,2024-10-02,2024-12-02,B21,60,3598,63,1521,3681,3480,62
101,樹林,03F-002.1N,25.129514,121.698631,4.0,3.0,06,2067,CZ24,H,2024-04-10,2024-06-10,G08,59,2067,56,1760,1908,2181,62
102,樹林,03F-002.1N,25.129514,121.698631,4.0,3.0,08,2298,CM27,H,2024-06-11,2024-08-11,G08,62,2298,59,2631,2181,2236,62
103,樹林,03F-002.1N,25.129514,121.698631,4.0,3.0,10,2201,CM27,H,2024-08-12,2024-10-10,G08,62,2201,62,2495,2236,2176,60
104,樹林,03F-002.1N,25.129514,121.698631,4.0,3.0,12,2088,CM27,H,2024-10-11,2024-12-10,G08,62,2088,62,1672,2176,1915,61
105,樹林,03F-011.6SN,25.065611,121.643467,4.0,3.0,07,3255,CW34,H,2024-04-25,2024-06-24,G08,64,3255,57,4006,3056,3564,61
106,樹林,03F-011.6SN,25.065611,121.643467,4.0,3.0,09,3451,CW34,H,2024-06-25,2024-08-26,G08,61,3451,64,4851,3564,3324,63
107,樹林,03F-011.6SN,25.065611,121.643467,4.0,3.0,11,3338,CW34,H,2024-08-27,2024-10-27,G08,63,3338,61,4774,3324,3266,62
108,樹林,03F-011.6SN,25.065611,121.643467,4.0,3.0,01,2972,CW34,H,2024-10-28,2024-12-24,G08,59,2972,63,4187,3266,3031,58
109,泰山,汐止收費站,,,,,06,843,CZ26,H,2024-04-29,2024-05-27, ,32,843,29,無,840,1036,29
110,泰山,汐止收費站,,,,,07,1063,CZ26,H,2024-05-28,2024-06-26, ,29,1063,32,無,1036,1112,30
111,泰山,汐止收費站,,,,,08,1384,CZ26,H,2024-06-27,2024-07-29, ,31,1384,29,無,1112,1040,33
112,泰山,汐止收費站,,,,,09,1070,CZ26,H,2024-07-30,2024-08-28, ,29,1070,31,無,1040,954,30
113,泰山,汐止收費站,,,,,10,1085,CZ26,H,2024-08-29,2024-09-26, ,32,1085,29,無,954,865,29
114,泰山,汐止收費站,,,,,11,881,CZ26,H,2024-09-27,2024-10-29, ,30,881,32,無,865,780,33
115,泰山,汐止收費站,,,,,12,713,CZ26,H,2024-10-30,2024-11-27, ,33,713,30,無,780,701,29
116,泰山,汐止收費站,,,,,01,587,CF25,F,2024-11-28,2024-12-26, ,29,587,33,無,701,597,29
117,泰山,01F-009.9SN,25.07604444,121.6594222,4.0,3.0,06,4954,CZ26,H,2024-03-28,2024-05-28,B21,61,4954,59,4954,2786,3491,62
118,泰山,01F-009.9SN,25.07604444,121.6594222,4.0,3.0,08,5327,CZ26,H,2024-05-29,2024-08-01,B21,61,5327,61,5327,3491,7841,65
119,泰山,01F-009.9SN,25.07604444,121.6594222,4.0,3.0,10,4753,CZ26,H,2024-08-02,2024-10-01,B21,63,4753,61,4753,7841,5119,61
120,泰山,01F-009.9SN,25.07604444,121.6594222,4.0,3.0,12,4737,CZ26,H,2024-10-02,2024-12-02,B21,60,4737,63,4737,5119,4664,62
121,樹林,03F-008.7S,25.089994,121.653556,4.0,3.0,06,1510,CZ24,H,2024-04-01,2024-05-29,G08,59,1510,61,910,2037,2089,59
122,樹林,03F-008.7S,25.089994,121.653556,4.0,3.0,08,3371,CZ24,H,2024-05-30,2024-08-04,G08,61,3371,59,1781,2089,2143,67
123,樹林,03F-008.7S,25.089994,121.653556,4.0,3.0,10,2069,CZ24,H,2024-08-05,2024-10-02,G08,63,2069,61,1203,2143,2091,59
124,樹林,03F-008.7S,25.089994,121.653556,4.0,3.0,12,2104,CF20,H,2024-10-03,2024-12-03,G08,62,2104,63,1197,2091,2031,62
125,樹林,05F-030.9SN,24.823656,121.786347,3.0,2.0,06,3181,DD27,A,2024-04-11,2024-06-11,G08,61,3181,56,1360,2733,3090,62
126,樹林,05F-030.9SN,24.823656,121.786347,3.0,2.0,08,3418,DD27,A,2024-06-12,2024-08-12,G08,60,3418,61,2016,3090,3021,62
127,樹林,05F-030.9SN,24.823656,121.786347,3.0,2.0,10,3455,DD27,A,2024-08-13,2024-10-13,G08,62,3455,60,1824,3021,2962,62
128,樹林,05F-030.9SN,24.823656,121.786347,3.0,2.0,12,3206,DD27,A,2024-10-14,2024-12-11,G08,62,3206,62,1324,2962,2956,59
129,樹林,05F-052.8N,24.632728,121.806958,3.0,2.0,06,1976,DG25,F,2024-03-26,2024-05-26,G08,61,1976,60,692,1859,2019,62
130,樹林,05F-052.8N,24.632728,121.806958,3.0,2.0,08,2107,DG25,F,2024-05-27,2024-07-28,G08,60,2107,61,733,2019,2004,63
131,樹林,05F-052.8N,24.632728,121.806958,3.0,2.0,10,1943,DG25,F,2024-07-29,2024-09-25,G08,62,1943,60,679,2004,1965,59
132,樹林,05F-052.8N,24.632728,121.806958,3.0,2.0,12,1958,DG25,F,2024-09-26,2024-11-26,G08,62,1958,62,690,1965,1883,62
133,樹林,05F-049.4S,24.662581,121.799908,3.0,2.0,06,2064,DG25,F,2024-04-03,2024-06-04,G08,61,2064,56,1693,1783,2056,63
134,樹林,05F-049.4S,24.662581,121.799908,3.0,2.0,08,2175,DG25,F,2024-06-05,2024-08-06,G08,62,2175,61,2248,2056,2080,63
135,樹林,05F-049.4S,24.662581,121.799908,3.0,2.0,10,2096,DG25,F,2024-08-07,2024-10-06,G08,60,2096,62,2142,2080,1906,61
136,樹林,05F-049.4S,24.662581,121.799908,3.0,2.0,12,1950,DG25,F,2024-10-07,2024-12-05,G08,62,1950,60,1696,1906,1951,60
137,樹林,05F-R11.3SN,24.733789,121.782022,2.0,1.0,05,3191,DT14,B,2024-03-06,2024-05-07,G08,60,3191,58,2005,2976,3202,63
138,樹林,05F-R11.3SN,24.733789,121.782022,2.0,1.0,07,3075,DT14,B,2024-05-08,2024-07-04,G08,60,3075,60,2067,3202,3317,58
139,樹林,05F-R11.3SN,24.733789,121.782022,2.0,1.0,09,3405,DT14,B,2024-07-05,2024-09-05,G08,61,3405,60,2500,3317,3276,63
140,樹林,05F-R11.3SN,24.733789,121.782022,2.0,1.0,11,3185,DT14,B,2024-09-06,2024-11-06,G08,64,3185,61,2430,3276,3208,62
141,樹林,05F-028.7SN,24.842714,121.789183,3.0,2.0,05,3163,DD31,H,2024-03-19,2024-05-20,G08,58,3163,58,1550,3004,3143,63
142,樹林,05F-028.7SN,24.842714,121.789183,3.0,2.0,07,3025,DD31,H,2024-05-21,2024-07-17,G08,62,3025,58,1904,3143,3238,58
143,樹林,05F-028.7SN,24.842714,121.789183,3.0,2.0,09,3383,DD31,H,2024-07-18,2024-09-19,G08,61,3383,62,2343,3238,3043,64
144,樹林,05F-028.7SN,24.842714,121.789183,3.0,2.0,11,3065,DD31,H,2024-09-20,2024-11-19,G08,64,3065,61,1731,3043,3068,61
145,樹林,頭城收費站,,,,,05,1752,DI27,A,2024-04-15,2024-05-15, ,28,1752,28,無,1564,1681,31
146,樹林,頭城收費站,,,,,06,1687,DD27,A,2024-05-16,2024-06-13, ,32,1687,28,無,1681,2243,29
147,樹林,頭城收費站,,,,,07,2299,DD27,A,2024-06-14,2024-07-14, ,29,2299,32,無,2243,2211,31
148,樹林,頭城收費站,,,,,08,2197,DD27,A,2024-07-15,2024-08-14, ,33,2197,29,無,2211,2337,31
149,樹林,頭城收費站,,,,,09,2202,DD27,A,2024-08-15,2024-09-15, ,31,2202,33,無,2337,2131,32
150,樹林,頭城收費站,,,,,10,1788,DD27,A,2024-09-16,2024-10-15, ,28,1788,31,無,2131,1616,30
151,樹林,頭城收費站,,,,,11,1438,DD27,A,2024-10-16,2024-11-14, ,32,1438,28,無,1616,1700,30
152,樹林,頭城收費站,,,,,12,1240,DD27,A,2024-11-15,2024-12-15, ,32,1240,32,無,1700,1559,31
153,樹林,05F-043.9S,24.710683,121.789461,3.0,2.0,06,1819,DM21,C,2024-04-10,2024-06-10,G08,59,1819,56,2891,1557,1920,62
154,樹林,05F-043.9S,24.710683,121.789461,3.0,2.0,08,2116,DM21,C,2024-06-11,2024-08-11,G08,62,2116,59,3457,1920,1927,62
155,樹林,05F-043.9S,24.710683,121.789461,3.0,2.0,10,1918,DM21,C,2024-08-12,2024-10-10,G08,62,1918,62,3187,1927,1810,60
156,樹林,05F-043.9S,24.710683,121.789461,3.0,2.0,12,1851,DM21,C,2024-10-11,2024-12-10,G08,62,1851,62,2820,1810,1708,61
157,樹林,05F-043.8N,24.711028,121.789478,3.0,2.0,06,1962,DM21,C,2024-04-10,2024-06-10,G08,59,1962,56,2891,1822,2228,62
158,樹林,05F-043.8N,24.711028,121.789478,3.0,2.0,08,2238,DM21,C,2024-06-11,2024-08-11,G08,62,2238,59,3457,2228,2188,62
159,樹林,05F-043.8N,24.711028,121.789478,3.0,2.0,10,2116,DM21,C,2024-08-12,2024-10-10,G08,62,2116,62,3187,2188,2023,60
160,樹林,05F-043.8N,24.711028,121.789478,3.0,2.0,12,2012,DM21,C,2024-10-11,2024-12-10,G08,62,2012,62,2820,2023,1909,61
161,楊梅,01F-053.2SN,25.012944,121.266194,4.0,4.0,06,3827,EP29,B,2024-04-12,2024-06-12,B13,61,3827,56,3865,3372,3741,62
162,楊梅,01F-053.2SN,25.012944,121.266194,4.0,4.0,08,4038,EP29,B,2024-06-13,2024-08-13,B13,64,4038,61,5063,3741,3914,62
163,楊梅,01F-053.2SN,25.012944,121.266194,4.0,4.0,10,3997,EP29,B,2024-08-14,2024-10-14,B13,58,3997,64,4615,3914,3444,62
164,楊梅,01F-053.2SN,25.012944,121.266194,4.0,4.0,12,3646,EP29,B,2024-10-15,2024-12-12,B13,69,3646,58,3468,3444,4083,59
165,泰山,01F-046.7SN,25.047075,121.317761,5.0,4.0,05,4298,OY34,B,2024-03-14,2024-05-15,B13,60,4298,58,2230,3790,4090,63
166,泰山,01F-046.7SN,25.047075,121.317761,5.0,4.0,07,4043,OY34,B,2024-05-16,2024-07-14,B13,62,4043,60,2757,4090,4277,60
167,泰山,01F-046.7SN,25.047075,121.317761,5.0,4.0,09,4351,OY34,B,2024-07-15,2024-09-15,B13,59,4351,62,3242,4277,3984,63
168,泰山,01F-046.7SN,25.047075,121.317761,5.0,4.0,11,4055,OY34,B,2024-09-16,2024-11-14,B13,64,4055,59,2414,3984,4188,60
169,泰山,01H-044.7N,25.059242,121.332072,4.0,3.0,05,2216,EQ39,A,2024-03-14,2024-05-15,G08,60,2216,58,4279,1914,2089,63
170,泰山,01H-044.7N,25.059242,121.332072,4.0,3.0,07,2216,EQ39,A,2024-05-16,2024-07-14,G08,62,2216,60,4787,2089,2198,60
171,泰山,01H-044.7N,25.059242,121.332072,4.0,3.0,09,2318,EQ39,A,2024-07-15,2024-09-15,G08,59,2318,62,5270,2198,2028,63
172,泰山,01H-044.7N,25.059242,121.332072,4.0,3.0,11,2133,EQ42,A,2024-09-16,2024-11-14,G08,64,2133,59,4218,2028,2104,60
173,楊梅,01F-049.2SN,25.036481,121.295531,5.0,5.0,05,4569,OY31,B,2024-03-14,2024-05-15,G08,60,4569,58,2912,4154,4467,63
174,楊梅,01F-049.2SN,25.036481,121.295531,5.0,5.0,07,4435,OY31,B,2024-05-16,2024-07-14,G08,62,4435,60,3243,4467,4640,60
