Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh)
后里,03F-125.7N,24.627161,120.814006,3.0,6,1762.0
后里,03F-125.7N,24.627161,120.814006,3.0,7,1762.0
后里,03F-125.7N,24.627161,120.814006,3.0,8,1612.0
后里,03F-125.7N,24.627161,120.814006,3.0,9,1612.0
后里,03F-125.7N,24.627161,120.814006,3.0,10,1550.0
后里,03F-125.7N,24.627161,120.814006,3.0,11,1550.0
后里,03F-133.2N,24.579642,120.764417,3.0,4,1580.0
后里,03F-133.2N,24.579642,120.764417,3.0,5,1580.0
后里,03F-133.2N,24.579642,120.764417,3.0,6,1626.0
后里,03F-133.2N,24.579642,120.764417,3.0,7,1626.0
后里,03F-133.2N,24.579642,120.764417,3.0,8,1497.0
后里,03F-133.2N,24.579642,120.764417,3.0,9,1497.0
后里,03F-133.2N,24.579642,120.764417,3.0,10,1519.0
后里,03F-133.2N,24.579642,120.764417,3.0,11,1519.0
后里,03F-139.5S,24.531125,120.733253,3.0,4,1822.5
后里,03F-139.5S,24.531125,120.733253,3.0,5,1822.5
后里,03F-139.5S,24.531125,120.733253,3.0,6,1864.5
后里,03F-139.5S,24.531125,120.733253,3.0,7,1864.5
后里,03F-139.5S,24.531125,120.733253,3.0,8,1707.0
后里,03F-139.5S,24.531125,120.733253,3.0,9,1707.0
后里,03F-139.5S,24.531125,120.733253,3.0,10,1609.0
后里,03F-139.5S,24.531125,120.733253,3.0,11,1609.0
后里,03F-148.5S,24.467308,120.681217,3.0,3,1729.0
后里,03F-148.5S,24.467308,120.681217,3.0,4,1729.0
后里,03F-148.5S,24.467308,120.681217,3.0,5,1620.0
后里,03F-148.5S,24.467308,120.681217,3.0,6,1620.0
后里,03F-148.5S,24.467308,120.681217,3.0,7,1685.5
后里,03F-148.5S,24.467308,120.681217,3.0,8,1685.5
后里,03F-148.5S,24.467308,120.681217,3.0,9,1657.5
后里,03F-148.5S,24.467308,120.681217,3.0,10,1657.5
后里,03F-148.5S,24.467308,120.681217,3.0,11,1484.5
后里,03F-148.5S,24.467308,120.681217,3.0,12,1484.5
后里,03F-163.3N,24.341119,120.651567,3.0,4,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,5,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,6,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,7,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,8,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,9,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,10,1598.0
后里,03F-163.3N,24.341119,120.651567,3.0,11,1598.0
后里,03F-165.1S,24.334719,120.635578,3.0,4,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,5,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,6,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,7,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,8,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,9,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,10,1587.0
后里,03F-165.1S,24.334719,120.635578,3.0,11,1587.0
后里,03F-171.0N,24.292881,120.601964,3.0,3,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,4,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,5,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,6,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,7,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,8,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,9,1743.0
后里,03F-171.0N,24.292881,120.601964,3.0,10,1743.0
后里,03F-173.9S,24.269464,120.590806,3.0,3,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,4,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,5,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,6,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,7,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,8,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,9,1764.5
后里,03F-173.9S,24.269464,120.590806,3.0,10,1764.5
后里,03F-177.9N,24.234647,120.593306,3.0,3,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,4,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,5,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,6,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,7,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,8,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,9,1685.5
后里,03F-177.9N,24.234647,120.593306,3.0,10,1685.5
后里,03F-186.0N,24.177831,120.548244,3.0,3,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,4,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,5,1600.0
后里,03F-186.0N,24.177831,120.548244,3.0,6,1600.0
后里,03F-186.0N,24.177831,120.548244,3.0,7,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,8,1908.5
后里,03F-186.0N,24.177831,120.548244,3.0,9,1656.5
