toll_booth,gantry,month,ac_a_current,ac_b_current,rs485_temperature,mains_power_220_current,mains_power_l1_voltage,mains_power_l2_voltage,smr_dc_current,smr_dc_voltage
新市,01F-293.0S,2024-09,0.9480555555555555,0.7637499999999999,21.31138888888889,10.377777777777776,116.76375,116.68777777777777,62.39708333333333,26.750416666666663
新市,01F-293.0S,2024-10,0.8176075268817204,0.8012096774193549,21.065725806451614,10.251747311827957,117.08709677419355,116.97553763440861,62.27836021505376,26.74744623655914
新市,01F-293.0S,2024-11,0.7804166666666668,0.680138888888889,20.86958333333333,10.107222222222221,117.27097222222223,117.1726388888889,62.41722222222222,26.75041666666667
新市,01F-293.0S,2024-12,0.707258064516129,0.6077956989247313,20.77459677419355,9.961559139784946,117.32163978494624,117.18911290322582,62.653225806451616,26.75174731182796
新市,01F-293.0S,2025-01,0.6864247311827958,0.5971774193548387,20.692741935483873,9.941397849462366,117.21801075268817,117.03736559139784,62.991263440860216,26.749327956989244
新市,01F-293.0S,2025-02,0.7000000000000001,0.5894345238095238,20.64345238095238,9.95595238095238,117.33199404761906,117.16785714285713,63.029761904761905,26.75550595238095
新市,01F-293.0S,2025-03,0.7420698924731183,0.6528225806451613,20.79959677419355,10.016397849462365,117.32311827956988,117.20215053763441,62.66948924731182,26.752150537634407
新市,01F-293.0S,2025-04,0.8416666666666667,0.7218055555555556,20.83972222222222,10.216944444444444,117.06472222222222,116.92583333333333,62.71375,26.750833333333333
新市,01F-293.0S,2025-05,0.7822916666666667,0.89375,20.93958333333333,10.361458333333333,117.11874999999999,116.88229166666667,62.657291666666666,26.75625
新市,01F-301.9N,2024-06,1.2479166666666666,0.9341666666666667,22.398055555555555,10.832083333333333,116.25305555555556,116.2125,62.22111111111111,26.752916666666668
新市,01F-301.9N,2024-07,1.2170698924731183,0.9967741935483871,20.863440860215054,10.898521505376344,115.84932795698924,115.81962365591397,62.0872311827957,26.748790322580643
新市,01F-301.9N,2024-08,1.161693548387097,0.966263440860215,20.51989247311828,10.778360215053763,116.23642473118281,116.24462365591398,62.12419354838709,26.7502688172043
新市,01F-301.9N,2024-09,1.1768055555555557,0.9433333333333334,20.309305555555557,17.697083333333335,122.20958333333333,122.20791666666668,62.18375,26.742916666666666
新市,01F-301.9N,2024-10,1.0225806451612902,1.0506720430107526,19.012096774193548,10.7375,116.225,116.23279569892473,61.82661290322581,26.752150537634407
新市,01F-301.9N,2024-11,0.9109722222222222,0.8408333333333334,18.465416666666666,10.337083333333334,116.38291666666667,116.4113888888889,61.93541666666667,26.752083333333335
新市,01F-301.9N,2024-12,0.7521505376344086,0.7407258064516129,18.053897849462366,10.111559139784946,116.49650537634409,116.5241935483871,62.34798387096774,26.75201612903226
新市,01F-301.9N,2025-01,0.7254032258064517,0.6763440860215054,17.753763440860215,10.05752688172043,116.2616935483871,116.30416666666667,62.87190860215054,26.746505376344086
新市,01F-301.9N,2025-02,0.719047619047619,0.7068452380952381,17.75699404761905,10.100595238095238,116.38824404761905,116.4046130952381,62.72782738095238,26.75
新市,01F-301.9N,2025-03,0.8353494623655915,0.7864247311827957,18.298521505376343,10.269086021505375,116.24583333333334,116.25645161290322,62.36693548387097,26.750672043010756
新市,01F-301.9N,2025-04,0.9554166666666667,0.9266666666666666,18.791527777777777,10.634722222222223,116.21,116.22652777777779,63.02791666666667,26.747777777777777
