Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
樹林,03F-005.4N,25.103747,121.681789,3,10,2300,2024-08-12,2024-10-10
樹林,03F-005.4N,25.103747,121.681789,3,12,2359,2024-10-11,2024-12-10
樹林,七堵收費站,,,,5,793,2024-04-10,2024-05-12
樹林,七堵收費站,,,,6,723,2024-05-13,2024-06-10
樹林,七堵收費站,,,,7,1126,2024-06-11,2024-07-09
樹林,七堵收費站,,,,8,1164,2024-07-10,2024-08-11
樹林,七堵收費站,,,,9,1169,2024-08-12,2024-09-10
樹林,七堵收費站,,,,10,915,2024-09-11,2024-10-10
樹林,七堵收費站,,,,11,748,2024-10-11,2024-11-11
樹林,七堵收費站,,,,12,579,2024-11-12,2024-12-10
泰山,01F-002.9SN,25.10283611,121.7178556,2,6,3186,2024-04-12,2024-06-12
泰山,01F-002.9SN,25.10283611,121.7178556,2,8,3269,2024-06-13,2024-08-13
泰山,01F-002.9SN,25.10283611,121.7178556,2,10,3258,2024-08-14,2024-10-14
泰山,01F-002.9SN,25.10283611,121.7178556,2,12,2990,2024-10-15,2024-12-12
泰山,01F-001.7SN,25.10956667,121.7259056,2,6,3276,2024-04-12,2024-06-12
泰山,01F-001.7SN,25.10956667,121.7259056,2,8,3035,2024-06-13,2024-08-13
泰山,01F-001.7SN,25.10956667,121.7259056,2,10,3447,2024-08-14,2024-10-14
泰山,01F-001.7SN,25.10956667,121.7259056,2,12,2934,2024-10-15,2024-12-12
泰山,01F-000.5N,25.11831111,121.7316361,2,6,1819,2024-04-12,2024-06-12
泰山,01F-000.5N,25.11831111,121.7316361,2,8,2019,2024-06-13,2024-08-13
泰山,01F-000.5N,25.11831111,121.7316361,2,10,2857,2024-08-14,2024-10-14
泰山,01F-000.5N,25.11831111,121.7316361,2,12,2023,2024-10-15,2024-12-12
泰山,01F-000.5S,25.11878611,121.7317639,2,6,1813,2024-04-12,2024-06-12
泰山,01F-000.5S,25.11878611,121.7317639,2,8,1960,2024-06-13,2024-08-13
泰山,01F-000.5S,25.11878611,121.7317639,2,10,2807,2024-08-14,2024-10-14
泰山,01F-000.5S,25.11878611,121.7317639,2,12,1942,2024-10-15,2024-12-12
泰山,01F-006.1SN,25.0882722,121.6936444,4,6,3577,2024-03-28,2024-05-28
泰山,01F-006.1SN,25.0882722,121.6936444,4,8,3804,2024-05-29,2024-08-01
泰山,01F-006.1SN,25.0882722,121.6936444,4,10,3621,2024-08-02,2024-10-01
泰山,01F-006.1SN,25.0882722,121.6936444,4,12,3598,2024-10-02,2024-12-02
樹林,03F-002.1N,25.129514,121.698631,3,6,2067,2024-04-10,2024-06-10
樹林,03F-002.1N,25.129514,121.698631,3,8,2298,2024-06-11,2024-08-11
樹林,03F-002.1N,25.129514,121.698631,3,10,2201,2024-08-12,2024-10-10
樹林,03F-002.1N,25.129514,121.698631,3,12,2088,2024-10-11,2024-12-10
樹林,03F-011.6SN,25.065611,121.643467,3,7,3255,2024-04-25,2024-06-24
樹林,03F-011.6SN,25.065611,121.643467,3,9,3451,2024-06-25,2024-08-26
樹林,03F-011.6SN,25.065611,121.643467,3,11,3338,2024-08-27,2024-10-27
樹林,03F-011.6SN,25.065611,121.643467,3,1,2972,2024-10-28,2024-12-24
泰山,汐止收費站,,,,6,843,2024-04-29,2024-05-27
泰山,汐止收費站,,,,7,1063,2024-05-28,2024-06-26
泰山,汐止收費站,,,,8,1384,2024-06-27,2024-07-29
泰山,汐止收費站,,,,9,1070,2024-07-30,2024-08-28
泰山,汐止收費站,,,,10,1085,2024-08-29,2024-09-26
泰山,汐止收費站,,,,11,881,2024-09-27,2024-10-29
泰山,汐止收費站,,,,12,713,2024-10-30,2024-11-27
泰山,汐止收費站,,,,1,587,2024-11-28,2024-12-26
泰山,01F-009.9SN,25.07604444,121.6594222,3,6,4954,2024-03-28,2024-05-28
泰山,01F-009.9SN,25.07604444,121.6594222,3,8,5327,2024-05-29,2024-08-01
泰山,01F-009.9SN,25.07604444,121.6594222,3,10,4753,2024-08-02,2024-10-01
泰山,01F-009.9SN,25.07604444,121.6594222,3,12,4737,2024-10-02,2024-12-02
樹林,03F-008.7S,25.089994,121.653556,3,6,1510,2024-04-01,2024-05-29
樹林,03F-008.7S,25.089994,121.653556,3,8,3371,2024-05-30,2024-08-04
樹林,03F-008.7S,25.089994,121.653556,3,10,2069,2024-08-05,2024-10-02
樹林,03F-008.7S,25.089994,121.653556,3,12,2104,2024-10-03,2024-12-03
樹林,05F-030.9SN,24.823656,121.786347,2,6,3181,2024-04-11,2024-06-11
樹林,05F-030.9SN,24.823656,121.786347,2,8,3418,2024-06-12,2024-08-12
