Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,01F-157.2S,24.339147,120.72085,3.0,9,-0.4072217992121708,1655.0
后里,01F-157.2S,24.339147,120.72085,3.0,10,0.2933323584555365,1507.0
后里,01F-157.2S,24.339147,120.72085,3.0,11,0.1585268745833827,1507.0
后里,01F-162.1N,24.301186,120.697325,3.0,3,-0.2788103669449064,1691.5
后里,01F-162.1N,24.301186,120.697325,3.0,4,-0.2376599119666571,1691.5
后里,01F-162.1N,24.301186,120.697325,3.0,5,-0.2911897255863404,1720.0
后里,01F-162.1N,24.301186,120.697325,3.0,6,-0.0712147196237135,1720.0
后里,01F-162.1N,24.301186,120.697325,3.0,7,-0.2496023247654312,1816.0
后里,01F-162.1N,24.301186,120.697325,3.0,8,0.1424539411811448,1816.0
后里,01F-162.1N,24.301186,120.697325,3.0,9,-0.4162158126069679,1759.0
后里,01F-162.1N,24.301186,120.697325,3.0,10,0.349498506076232,1759.0
后里,01F-166.4S,24.262647,120.691956,4.0,3,-0.24043489529183,2072.0
后里,01F-166.4S,24.262647,120.691956,4.0,4,-0.2054657960696068,2072.0
后里,01F-166.4S,24.262647,120.691956,4.0,5,-0.2556069521859934,2040.0
后里,01F-166.4S,24.262647,120.691956,4.0,6,-0.056167721019978,2040.0
后里,01F-166.4S,24.262647,120.691956,4.0,7,-0.2387194225191023,2151.0
后里,01F-166.4S,24.262647,120.691956,4.0,8,0.1300069448684329,2151.0
后里,01F-166.4S,24.262647,120.691956,4.0,9,-0.4354017020535872,2037.5
后里,01F-166.4S,24.262647,120.691956,4.0,10,0.3979672255363134,2037.5
后里,01F-169.9S,24.231536,120.686625,3.0,3,-0.1640759672069646,1900.0
后里,01F-169.9S,24.231536,120.686625,3.0,4,-0.128631854799021,1900.0
后里,01F-169.9S,24.231536,120.686625,3.0,5,-0.1950606694425818,1783.5
后里,01F-169.9S,24.231536,120.686625,3.0,6,-0.0270541549382501,1783.5
后里,01F-169.9S,24.231536,120.686625,3.0,7,-0.2605490109816036,1949.0
后里,01F-169.9S,24.231536,120.686625,3.0,8,0.1098794863759969,1949.0
后里,01F-169.9S,24.231536,120.686625,3.0,9,-0.4634034097864955,1812.5
后里,01F-169.9S,24.231536,120.686625,3.0,10,0.4814677278901487,1812.5
后里,03F-112.8S,24.711383,120.889639,3.0,3,-0.7322593823188074,1611.5
后里,03F-112.8S,24.711383,120.889639,3.0,4,-0.6785501977478509,1611.5
后里,03F-112.8S,24.711383,120.889639,3.0,5,-0.6673119816013273,1588.5
后里,03F-112.8S,24.711383,120.889639,3.0,6,-0.3882073438627166,1588.5
后里,03F-112.8S,24.711383,120.889639,3.0,7,-0.2871173443797707,1730.0
后里,03F-112.8S,24.711383,120.889639,3.0,8,0.1157801452930998,1730.0
后里,03F-112.8S,24.711383,120.889639,3.0,9,-0.3660289210931755,1623.5
后里,03F-112.8S,24.711383,120.889639,3.0,10,-0.2421787287517648,1623.5
后里,03F-116.1N,24.698006,120.860086,3.0,3,-0.7188476067545931,1649.5
后里,03F-116.1N,24.698006,120.860086,3.0,4,-0.6464788080545825,1649.5
